Year,Month,ProductCategory,Quantity_Sold,Total_Revenue,Reorder_Level,Restock_Quantity,Lead_Time,Stock_Quantity
2023,9,Electronics,23834,6112381.43,4766,9532,5,11917.0
2023,9,Grocery,24030,6149891.21,4806,9612,5,12015.0
2023,9,Home & Kitchen,24140,6204085.23,4828,9656,5,12070.0
2023,10,Beauty & Personal Care,24840,6341654.35,4968,9936,5,12420.0
2023,10,Clothing,25118,6540224.26,5023,10046,5,12559.0
2023,10,Electronics,25011,6396297.32,5002,10004,5,12505.5
2023,10,Grocery,25061,6447604.31,5012,10024,5,12530.5
2023,10,Home & Kitchen,25282,6441909.83,5056,10112,5,12641.0
2023,11,Beauty & Personal Care,24639,6271813.74,4927,9854,5,12319.5
2023,11,Clothing,24108,6142787.42,4821,9642,5,12054.0
2023,11,Electronics,24511,6230537.73,4902,9804,5,12255.5
2023,11,Grocery,24111,6067560.87,4822,9644,5,12055.5
2023,11,Home & Kitchen,24891,6396155.6,4978,9956,5,12445.5
2023,12,Beauty & Personal Care,25836,6592085.63,5167,10334,5,12918.0
2023,12,Clothing,25107,6462933.89,5021,10042,5,12553.5
2023,12,Electronics,24629,6266398.57,4925,9850,5,12314.5
2023,12,Grocery,24783,6468285.74,4956,9912,5,12391.5
2023,12,Home & Kitchen,24904,6335517.59,4980,9960,5,12452.0
2024,1,Beauty & Personal Care,25032,6349317.91,5006,10012,5,12516.0
2024,1,Clothing,25532,6480553.14,5106,10212,5,12766.0
2024,1,Electronics,25754,6518445.62,5150,10300,5,12877.0
2024,1,Grocery,24757,6256009.84,4951,9902,5,12378.5
2024,1,Home & Kitchen,25158,6359777.97,5031,10062,5,12579.0
2024,2,Beauty & Personal Care,23300,5927275.02,4660,9320,5,11650.0
2024,2,Clothing,23702,6106188.92,4740,9480,5,11851.0
2024,2,Electronics,23232,5853580.86,4646,9292,5,11616.0
2024,2,Grocery,23719,6019942.64,4743,9486,5,11859.5
2024,2,Home & Kitchen,23277,5932665.26,4655,9310,5,11638.5
2024,3,Beauty & Personal Care,25246,6438535.22,5049,10098,5,12623.0
2024,3,Clothing,24703,6266869.5,4940,9880,5,12351.5
2024,3,Electronics,25293,6441143.15,5058,10116,5,12646.5
2024,3,Grocery,24587,6222915.06,4917,9834,5,12293.5
2024,3,Home & Kitchen,24973,6387119.11,4994,9988,5,12486.5
2024,4,Beauty & Personal Care,24122,6168494.67,4824,9648,5,12061.0
2024,4,Clothing,24938,6349525.95,4987,9974,5,12469.0
2024,4,Electronics,24473,6205941.43,4894,9788,5,12236.5
2024,4,Grocery,24706,6385946.04,4941,9882,5,12353.0
2024,4,Home & Kitchen,24336,6232309.81,4867,9734,5,12168.0
2024,5,Beauty & Personal Care,25671,6529162.14,5134,10268,5,12835.5
2024,5,Clothing,25282,6538521.61,5056,10112,5,12641.0
2024,5,Electronics,25202,6474000.42,5040,10080,5,12601.0
2024,5,Grocery,24870,6353442.14,4974,9948,5,12435.0
2024,5,Home & Kitchen,25273,6432739.74,5054,10108,5,12636.5
2024,6,Beauty & Personal Care,24327,6108583.45,4865,9730,5,12163.5
2024,6,Clothing,24071,6153733.65,4814,9628,5,12035.5
2024,6,Electronics,24374,6215922.08,4874,9748,5,12187.0
2024,6,Grocery,24351,6145884.1,4870,9740,5,12175.5
2024,6,Home & Kitchen,24306,6225342.56,4861,9722,5,12153.0
2024,7,Beauty & Personal Care,24892,6381618.34,4978,9956,5,12446.0
2024,7,Clothing,25881,6624448.75,5176,10352,5,12940.5
2024,7,Electronics,25312,6520086.04,5062,10124,5,12656.0
2024,7,Grocery,25409,6500717.34,5081,10162,5,12704.5
2024,7,Home & Kitchen,25017,6307803.46,5003,10006,5,12508.5
2024,8,Beauty & Personal Care,25469,6488390.19,5093,10186,5,12734.5
2024,8,Clothing,25274,6413070.1,5054,10108,5,12637.0
2024,8,Electronics,25216,6383724.15,5043,10086,5,12608.0
2024,8,Grocery,24775,6267696.55,4955,9910,5,12387.5
2024,8,Home & Kitchen,25860,6546242.42,5172,10344,5,12930.0
2024,9,Beauty & Personal Care,24693,6334964.24,4938,9876,5,12346.5
2024,9,Clothing,24144,6163152.08,4828,9656,5,12072.0
2024,9,Electronics,24403,6237185.37,4880,9760,5,12201.5
2024,9,Grocery,24723,6352244.18,4944,9888,5,12361.5
2024,9,Home & Kitchen,24267,6150316.86,4853,9706,5,12133.5
2024,10,Beauty & Personal Care,24951,6410855.77,4990,9980,5,12475.5
2024,10,Clothing,25213,6399595.93,5042,10084,5,12606.5
2024,10,Electronics,25002,6430946.47,5000,10000,5,12501.0
2024,10,Grocery,25457,6503873.01,5091,10182,5,12728.5
2024,10,Home & Kitchen,24677,6303197.21,4935,9870,5,12338.5
2024,11,Beauty & Personal Care,24119,6135284.41,4823,9646,5,12059.5
2024,11,Clothing,23606,5966483.3,4721,9442,5,11803.0
2024,11,Electronics,24261,6183418.12,4852,9704,5,12130.5
2024,11,Grocery,24336,6230361.02,4867,9734,5,12168.0
2024,11,Home & Kitchen,25355,6412089.07,5071,10142,5,12677.5
2024,12,Beauty & Personal Care,25399,6502431.56,5079,10158,5,12699.5
2024,12,Clothing,24977,6351154.64,4995,9990,5,12488.5
2024,12,Electronics,25470,6451301.51,5094,10188,5,12735.0
2024,12,Grocery,24319,6209805.37,4863,9726,5,12159.5
2024,12,Home & Kitchen,25681,6573196.08,5136,10272,5,12840.5
